region_name,COUNT(region_name)
Cataluña,108
"Comunidad Valenciana",159
Murcia,38
"Castilla la Mancha",27
Extremadura,8
"La Rioja",10
Andalucia,91
Navarra,18
Aragon,134
"Islas Baleares",74
Madrid,36
Cantabria,34
Asturias,30
"Pais Vasco",65
"Castilla y Leon",43
"Islas Canarias",7
Galicia,70
