Initial Region Name,Initial Region URL,Crag URL,Region Name,Latitude,Longitude
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2129814915,Els sumidors 🚫,41.28410580069,1.77184974372
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2129834175,Penyes de can Marcer,41.26945222385,1.80941493576
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2803403151,penya del moro,41.34890152685,1.9431078719
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2805469029,roca de casablanca,41.41331824607,1.83441359338
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2806201551,la talaia,41.24622042404,1.66459700314
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2817567555,torrelletes,41.27310182979,1.64876134024
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2819571741,La Graiera,41.22383764024,1.5753596425
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2819614959,Penya Aguilera - Penyes Blanques,41.2086111,1.49580945
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2839615659,roques d'en barrusques,41.44890435046,1.60735941359
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2839838961,coll de la barraca,41.44206757196,1.58404470937
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2843351532,el castellot,41.33737099509,1.57745793608
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2860076268,santsuies,41.31688517824,1.49779446332
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2863569180,montmell,41.33651452368,1.47105570887
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2863684521,olesa,41.57580989689,1.88647480544
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2866944402,serra de rubió,41.56604765863,1.87595020967
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2885741610,el cairat,41.57125223519,1.86505106595
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2888084559,tossa de montbui,41.55607346012,1.58061779522
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2890602651,els mollons,41.57025946274,1.68345865125
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/2890604514,mediona,41.47647954678,1.63518684352
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/329804664,Tossal Rodó,41.57634583418,1.86439052743
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/9612948030,Calonge,41.84830825155,3.05957671108
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/rocca-blanca-amposta,Roca Blanca,40.61170508783,0.53532928701
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/montsianell,Montsianell,40.68302304257,0.55556801737
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/raco-des-capellans,Raco des Capellans,40.65777271215,0.39482017525
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/torres-roges-la-senia,Torres Roges - La Senia,40.66171700428,0.23824061005
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/estrets-del-riu,Els ports,40.87429788672,0.3111669338
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/589381374,Santa Bàrbara,40.95830281724,0.33834205246
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/589386612,roques d'en Benet,41.05415715,0.78101995
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/horata-de-saint-joan,Horta de Sant Joan,40.93295190129,0.37291448823
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/tivissa,Tivissa,41.03633562707,0.72121050337
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/llaveria,Llaveria,41.075686,0.84603025
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/pradell-de-la-teixeta,Pradell de la Teixeta,41.15698106597,0.87665681789
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/2774193882,Cabacés,41.2535526,0.73007295
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/montsant,Montsant,41.2672799223,0.81495032366
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/arboli,Arboli,41.23765075,0.94598
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/la-mussara,La Mussara,41.2466186,1.0494379
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/la-riba,La Riba,41.3181691,1.17320875
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/mont-ral,Mont-ral,41.28267319167,1.10182049941
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/siurana,Siurana,41.26177121863,0.93865087299
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/margalef,Margalef,41.28810275,0.7675799
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/collugons,Cogullons,41.34024493819,1.0970141354
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/vilanova-de-prades,Vilanova de Prades,41.35138799804,0.9490510689
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/410745486,Masriudoms,41.03023583556,0.87895528806
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/1239663042,El Penitent,41.36627085,1.1322655
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/6084496350,Cingle de Cacàc,40.62919595,0.56731255
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/6623069457,Pinell de Brai,41.04292317744,0.48672374084
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/6705211095,Roques del Masmut,40.74880600429,0.06602585776
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/costa-daurada/area/7932135312,Els Munts,41.13354492906,1.3984085877
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/cavallers,Cavallers,42.5880487,0.8529969
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/travessani,Travessani,42.6325904883,0.88177562755
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/restanca,Restanca,42.63119015887,0.84083251178
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/502528710,Valle de Boi,42.56150552529,1.05545961015
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/598775679,vall de mulleres,42.62147622212,0.74265092719
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/vall-de-besiberri,Vall de Besiberri,42.6281933308,0.77845951364
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/colomers,Colomers,42.61006352664,0.92916981246
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/saboredo,Saboredo,42.61575839095,0.96727050199
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/amitges,Amitges,42.58802258839,1.02632148083
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/saint-maurici,Sant Maurici,42.57313214235,1.00345808674
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/josep-maria-blanc,Josep Maria Blanc,42.53875889824,1.03969241704
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/colomina,Colomina,42.52329018469,1.00796882437
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/viuet,Viuet,42.44721290697,0.71485262728
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/603269673,sarraèra,42.64847749046,0.77444400297
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/603276204,la forcanada,42.66331950836,0.70767050877
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/603701208,vall de Gerber,42.62585254072,0.99599871652
Cataluña,https://www.thecrag.com/en/climbing/spain/area/1842437106,https://www.thecrag.com/en/climbing/spain/area/603709650,pla de la font,42.60841820363,1.04660708251
