Initial Region URL	Crag URL	Region Name	Latitude	Longitude
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/vall-dolerdola	Vall' d'Olerdola	41.30481842174	1.70513377004
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/barcelona-area/area/242458272	La Facu	41.2860918996	1.70214922856
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/castelldefels	Castelldefels	41.27564738981	1.9250289658
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/barcelona-area/area/242458218	Subirats	41.4162302262	1.8139010615
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/gelida	Gelida	41.42773719026	1.87368936845
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/cadira-del-bisbe	Teià	41.50318112599	2.33296788669
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/barcelona-area/area/1007621847	Roques de l'Ignasi	41.51108845298	2.33407216741
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/can-boquet	Can Boquet	41.51557142497	2.34019814341
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/banyadores	Banyadores	41.53807255	2.37834975
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/cellecs	Céllecs	41.55718620333	2.33935824235
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/barcelona-area/area/7071113190	Bauma de Can Solà	41.59830844119	1.75150659838
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/montserrat	Montserrat	41.59292085	1.8230383
https://www.thecrag.com/en/climbing/spain/area/1842437106	https://www.thecrag.com/en/climbing/spain/sant-llorenc-de-munt	Sant Llorenc de Munt	41.65611913356	1.98597069756
